tag,accuracy,sample_size
PRO,85.14285714285714,750
ADV,60.47904191616767,750
DD,81.34328358208955,750
CONJ,73.27586206896551,750
AP,89.47368421052632,750
ADJ,2.5974025974025974,750
DPOS,48.837209302325576,750
DI,35.8974358974359,750
PART,92.5925925925926,750
WH,0.0,750
NUM,0.0,750
DW,0.0,750
XX,0.0,750
INTJ,0.0,750
start,0.0,1000
stop,0.0,1000
VB,49.6551724137931,1000
PUNCT,0.0,1000
N,50.204081632653065,1000
PRO,89.05472636815921,1000
ADV,57.51633986928104,1000
DD,88.88888888888889,1000
CONJ,74.78991596638656,1000
AP,88.23529411764706,1000
ADJ,1.0309278350515463,1000
DI,20.588235294117645,1000
PART,93.93939393939394,1000
DPOS,37.03703703703704,1000
NUM,0.0,1000
WH,62.5,1000
INTJ,0.0,1000
DW,0.0,1000
XX,0.0,1000
start,0.0,1500
stop,0.0,1500
VB,59.859154929577464,1500
PUNCT,0.0,1500
N,51.02459016393443,1500
PRO,90.48991354466858,1500
ADV,63.94052044609665,1500
DD,80.76923076923077,1500
CONJ,70.17543859649122,1500
AP,88.11881188118812,1500
ADJ,27.06766917293233,1500
DI,64.81481481481481,1500
DPOS,47.05882352941176,1500
PART,92.5,1500
WH,53.84615384615385,1500
NUM,0.0,1500
INTJ,0.0,1500
DW,0.0,1500
start,0.0,2000
stop,0.0,2000
VB,49.92805755395683,2000
PUNCT,0.0,2000
N,64.67486818980667,2000
PRO,92.5925925925926,2000
DD,85.79710144927536,2000
ADV,65.79710144927536,2000
CONJ,76.49402390438247,2000
AP,90.2439024390244,2000
ADJ,19.07514450867052,2000
DPOS,50.79365079365079,2000
DI,63.934426229508205,2000
PART,100.0,2000
NUM,0.0,2000
WH,52.94117647058824,2000
INTJ,0.0,2000
DW,0.0,2000
start,0.0,2500
stop,0.0,2500
VB,53.04449648711944,2500
PUNCT,0.0,2500
N,56.85425685425686,2500
PRO,91.03585657370517,2500
ADV,59.55056179775281,2500
DD,84.10958904109589,2500
CONJ,75.87301587301587,2500
AP,91.15384615384615,2500
ADJ,26.13065326633166,2500
DPOS,69.38775510204081,2500
DI,63.44086021505376,2500
PART,98.76543209876543,2500
WH,51.724137931034484,2500
NUM,5.88235294117647,2500
DW,0.0,2500
INTJ,100.0,2500
start,0.0,3000
stop,0.0,3000
VB,65.43859649122807,3000
PUNCT,0.0,3000
N,67.14443219404632,3000
PRO,88.62928348909658,3000
DD,91.07806691449815,3000
ADV,69.34865900383141,3000
CONJ,76.00896860986546,3000
AP,85.20710059171599,3000
ADJ,28.51851851851852,3000
DPOS,72.64957264957265,3000
DI,60.18518518518518,3000
PART,91.39784946236558,3000
WH,58.139534883720934,3000
NUM,25.0,3000
INTJ,0.0,3000
DW,0.0,3000
start,0.0,3500
stop,0.0,3500
VB,67.37184703010578,3500
PUNCT,0.0,3500
N,57.48502994011976,3500
PRO,89.34081346423562,3500
ADV,68.75981161695447,3500
DD,89.49919224555735,3500
CONJ,73.11111111111111,3500
AP,89.4607843137255,3500
ADJ,30.656934306569344,3500
DPOS,71.05263157894737,3500
DI,59.29203539823009,3500
PART,95.78947368421052,3500
WH,20.0,3500
NUM,9.090909090909092,3500
INTJ,0.0,3500
DW,0.0,3500
XX,0.0,3500
start,0.0,4000
stop,0.0,4000
VB,58.64825581395349,4000
PUNCT,0.0,4000
N,63.345195729537366,4000
PRO,90.87591240875912,4000
ADV,70.68723702664796,4000
DD,89.49843260188088,4000
CONJ,75.05285412262155,4000
AP,91.64733178654292,4000
ADJ,26.46048109965636,4000
DI,63.888888888888886,4000
DPOS,80.0,4000
PART,95.16129032258065,4000
NUM,7.5,4000
WH,41.66666666666667,4000
DW,0.0,4000
INTJ,0.0,4000
start,0.0,4500
stop,0.0,4500
VB,60.68075117370893,4500
PUNCT,0.0,4500
N,64.43636363636364,4500
PRO,87.6470588235294,4500
ADV,76.60818713450293,4500
DD,90.81632653061224,4500
CONJ,75.60975609756098,4500
AP,89.92932862190813,4500
ADJ,27.860696517412936,4500
DPOS,70.28571428571428,4500
DI,62.643678160919535,4500
PART,95.0354609929078,4500
WH,58.333333333333336,4500
NUM,18.181818181818183,4500
INTJ,0.0,4500
DW,0.0,4500
XX,0.0,4500
start,0.0,5000
stop,0.0,5000
VB,62.736373748609566,5000
PUNCT,0.0,5000
N,65.94556873691556,5000
PRO,90.05681818181817,5000
ADV,77.08108108108108,5000
DD,95.4653937947494,5000
CONJ,72.22222222222221,5000
AP,91.4018691588785,5000
ADJ,42.59681093394077,5000
DPOS,70.8108108108108,5000
DI,62.92134831460674,5000
PART,90.51094890510949,5000
WH,59.09090909090909,5000
NUM,26.82926829268293,5000
DW,0.0,5000
INTJ,0.0,5000
XX,0.0,5000
start,0.0,7500
stop,0.0,7500
VB,69.1044192412984,7500
PUNCT,0.0,7500
N,68.89952153110048,7500
PRO,91.04774535809018,7500
ADV,76.68016194331983,7500
DD,93.85004212299916,7500
CONJ,71.51639344262296,7500
AP,92.45742092457421,7500
ADJ,42.88025889967638,7500
DI,70.52631578947368,7500
DPOS,85.0,7500
PART,98.0392156862745,7500
WH,74.68354430379746,7500
NUM,26.785714285714285,7500
INTJ,0.0,7500
DW,0.0,7500
XX,0.0,7500
start,0.0,10000
stop,0.0,10000
VB,73.65023474178403,10000
PUNCT,0.0,10000
N,65.49565217391304,10000
PRO,92.02102245580507,10000
ADV,77.1770062606716,10000
DD,89.5,10000
CONJ,78.34245504300235,10000
AP,90.45837231057062,10000
ADJ,51.07398568019092,10000
DPOS,82.01634877384197,10000
DI,75.29411764705883,10000
PART,95.23809523809523,10000
WH,76.28865979381443,10000
NUM,46.478873239436616,10000
INTJ,72.72727272727273,10000
DW,0.0,10000
XX,0.0,10000
start,0.0,15000
stop,0.0,15000
VB,74.34615384615385,15000
PUNCT,0.0,15000
N,75.09328358208955,15000
PRO,91.88842577749278,15000
ADV,79.63105303612605,15000
DD,91.09278350515464,15000
CONJ,77.2,15000
AP,91.48036253776435,15000
ADJ,54.11849710982659,15000
DPOS,89.28571428571429,15000
DI,80.97826086956522,15000
PART,95.21410579345087,15000
WH,75.18796992481202,15000
NUM,43.44262295081967,15000
INTJ,53.333333333333336,15000
DW,0.0,15000
XX,0.0,15000
start,0.0,18853
stop,0.0,18853
VB,78.21579792670464,18853
PUNCT,0.0,18853
N,75.53865652724969,18853
PRO,91.65029469548134,18853
ADV,79.3692897141173,18853
DD,91.68510907366424,18853
CONJ,77.69141080450835,18853
AP,94.83633010603964,18853
ADJ,52.03153426318982,18853
DPOS,87.81127129750983,18853
DI,77.5,18853
PART,94.53860640301318,18853
WH,73.51598173515981,18853
NUM,42.76315789473684,18853
INTJ,52.17391304347826,18853
DW,0.0,18853
XX,0.0,18853
DDS,0.0,18853
start,0.0,250
stop,0.0,250
VB,45.45454545454545,250
PUNCT,0.0,250
N,6.8181818181818175,250
PRO,67.21311475409836,250
DD,79.16666666666666,250
ADV,47.82608695652174,250
CONJ,51.35135135135135,250
AP,66.66666666666666,250
ADJ,0.0,250
DPOS,30.0,250
PART,88.88888888888889,250
DI,0.0,250
WH,0.0,250
NUM,0.0,250
start,0.0,500
stop,0.0,500
VB,50.0,500
PUNCT,0.0,500
N,47.43589743589743,500
PRO,86.25954198473282,500
ADV,60.17699115044248,500
DD,76.47058823529412,500
CONJ,76.82926829268293,500
AP,92.42424242424242,500
ADJ,2.2222222222222223,500
DPOS,7.4074074074074066,500
DI,33.33333333333333,500
NUM,0.0,500
WH,0.0,500
PART,60.0,500
INTJ,0.0,500
start,0.0,750
stop,0.0,750
VB,56.92883895131086,750
PUNCT,0.0,750
N,34.0,750
PRO,84.61538461538461,750
DD,85.0,750
ADV,54.81481481481482,750
CONJ,62.92134831460674,750
AP,81.94444444444444,750
ADJ,23.333333333333332,750
PART,95.45454545454545,750
DI,22.22222222222222,750
DPOS,0.0,750
NUM,0.0,750
WH,0.0,750
INTJ,0.0,750
start,0.0,1000
stop,0.0,1000
VB,58.17174515235457,1000
PUNCT,0.0,1000
N,32.659932659932664,1000
PRO,88.2051282051282,1000
DD,89.32584269662921,1000
ADV,60.49382716049383,1000
CONJ,66.66666666666666,1000
AP,82.2429906542056,1000
ADJ,18.181818181818183,1000
DI,46.875,1000
PART,93.10344827586206,1000
DPOS,50.0,1000
WH,13.333333333333334,1000
NUM,0.0,1000
DW,0.0,1000
start,0.0,1500
stop,0.0,1500
VB,56.35673624288425,1500
PUNCT,0.0,1500
N,57.07547169811321,1500
PRO,89.1156462585034,1500
ADV,68.59205776173285,1500
DD,88.84462151394422,1500
AP,89.14285714285714,1500
CONJ,71.16564417177914,1500
ADJ,22.52252252252252,1500
PART,97.82608695652173,1500
DI,44.44444444444444,1500
DPOS,55.55555555555556,1500
WH,13.043478260869565,1500
NUM,0.0,1500
INTJ,0.0,1500
XX,0.0,1500
start,0.0,2000
stop,0.0,2000
VB,65.41244573082489,2000
PUNCT,0.0,2000
N,46.858168761220824,2000
PRO,89.56310679611651,2000
ADV,66.0,2000
DD,90.1360544217687,2000
CONJ,71.53558052434457,2000
AP,88.23529411764706,2000
ADJ,29.411764705882355,2000
DI,37.9746835443038,2000
DPOS,58.06451612903226,2000
PART,98.07692307692307,2000
WH,21.428571428571427,2000
NUM,22.22222222222222,2000
INTJ,0.0,2000
DW,0.0,2000
XX,0.0,2000
start,0.0,2500
stop,0.0,2500
VB,61.452513966480446,2500
PUNCT,0.0,2500
N,59.697386519944985,2500
PRO,89.53722334004024,2500
ADV,59.55056179775281,2500
DD,84.94117647058823,2500
CONJ,77.71084337349397,2500
AP,92.46575342465754,2500
ADJ,34.13461538461539,2500
DI,54.166666666666664,2500
DPOS,70.96774193548387,2500
PART,92.7536231884058,2500
WH,25.0,2500
NUM,0.0,2500
INTJ,0.0,2500
DW,0.0,2500
XX,0.0,2500
start,0.0,3000
stop,0.0,3000
VB,55.017921146953405,3000
PUNCT,0.0,3000
N,64.57345971563981,3000
PRO,91.23867069486404,3000
ADV,63.793103448275865,3000
DD,81.76470588235294,3000
CONJ,79.47494033412887,3000
AP,87.07692307692308,3000
ADJ,24.354243542435423,3000
DI,59.541984732824424,3000
DPOS,63.84615384615384,3000
PART,95.0,3000
NUM,12.0,3000
WH,69.56521739130434,3000
INTJ,0.0,3000
DW,0.0,3000
XX,0.0,3000
start,0.0,3500
stop,0.0,3500
VB,66.88578471651603,3500
PUNCT,0.0,3500
N,61.47783251231527,3500
PRO,91.91780821917808,3500
ADV,67.83439490445859,3500
DD,92.4315619967794,3500
CONJ,71.3097713097713,3500
AP,93.85026737967914,3500
ADJ,23.958333333333336,3500
DPOS,75.3731343283582,3500
DI,57.14285714285714,3500
PART,95.74468085106383,3500
WH,58.620689655172406,3500
NUM,0.0,3500
DW,0.0,3500
INTJ,0.0,3500
DIS,0.0,3500
start,0.0,4000
stop,0.0,4000
VB,66.07773851590106,4000
PUNCT,0.0,4000
N,64.12280701754386,4000
PRO,91.59456118665018,4000
DD,89.65986394557824,4000
ADV,71.34670487106017,4000
CONJ,71.14624505928853,4000
AP,89.05579399141631,4000
ADJ,34.82142857142857,4000
DI,56.41025641025641,4000
DPOS,70.1492537313433,4000
PART,93.91304347826087,4000
WH,41.86046511627907,4000
NUM,0.0,4000
DW,0.0,4000
INTJ,0.0,4000
XX,0.0,4000
DDS,0.0,4000
start,0.0,4500
stop,0.0,4500
VB,64.97754971135343,4500
PUNCT,0.0,4500
N,63.703099510603586,4500
PRO,92.60485651214128,4500
ADV,72.86821705426357,4500
DD,88.72870249017038,4500
CONJ,73.26388888888889,4500
AP,88.70673952641167,4500
ADJ,41.369863013698634,4500
DI,60.97560975609756,4500
DPOS,85.81560283687944,4500
PART,96.15384615384616,4500
NUM,3.0303030303030303,4500
WH,53.125,4500
DW,0.0,4500
INTJ,0.0,4500
XX,0.0,4500
start,0.0,5000
stop,0.0,5000
VB,70.74788902291917,5000
PUNCT,0.0,5000
N,57.33634311512416,5000
PRO,90.21852237252862,5000
ADV,73.14814814814815,5000
DD,88.72679045092838,5000
CONJ,75.49770290964778,5000
AP,89.54372623574145,5000
ADJ,27.083333333333332,5000
DI,65.36312849162012,5000
DPOS,69.94219653179191,5000
PART,96.35036496350365,5000
WH,60.0,5000
NUM,0.0,5000
INTJ,0.0,5000
DW,0.0,5000
XX,0.0,5000
start,0.0,7500
stop,0.0,7500
VB,71.02601156069365,7500
PUNCT,0.0,7500
N,61.79001721170396,7500
PRO,92.16757741347905,7500
ADV,77.35442127965493,7500
DD,86.83409436834094,7500
CONJ,79.05544147843942,7500
