tag,accuracy,sample_size
PUNCT,0.0,100000
P,90.26083144589757,100000
PRO,93.70997455917184,100000
D,85.91555844880499,100000
ADV,80.39459375485475,100000
CONJ,95.07660432909871,100000
ADJ,86.05056009688163,100000
C,97.19322662955231,100000
PRO$,99.35162846803377,100000
Q,96.18795705616928,100000
NUM,95.2941176470588,100000
XX,0.0,100000
NEG,99.85981308411216,100000
PART,67.619926199262,100000
WH,92.37668161434978,100000
INTJ,90.17857142857144,100000
start,0.0,112660
stop,0.0,112660
N,92.610774828019,112660
VB,92.2847786268016,112660
PUNCT,0.0,112660
P,88.94126060527256,112660
PRO,94.39857086145297,112660
D,79.28436136045458,112660
ADV,89.10010940919038,112660
CONJ,94.47991356448289,112660
ADJ,87.57312890861408,112660
C,97.88881816252918,112660
PRO$,98.00802323972889,112660
Q,95.5177743431221,112660
NUM,95.74022346368714,112660
XX,0.0,112660
NEG,99.83367983367984,112660
PART,66.40316205533597,112660
